Model,Accuracy,F1,MCC,AUROC,CV_mean,CV_std,RC_consistency
LR / Track A,0.7746478873239436,0.7730496453900709,0.5493502655735358,0.833118428883158,0.7915130014424389,0.018288797002853876,0.9703389830508474
SVM / Track A,0.778169014084507,0.7804878048780488,0.556462227708036,0.8308123388216624,0.7862227593466142,0.016634758244582295,0.9258474576271186
RF / Track A,0.7640845070422535,0.7632508833922261,0.528182111402999,0.8131323150168618,0.770297454290281,0.028547730827051022,0.8312146892655368
LR / Track B,0.7570422535211268,0.7612456747404844,0.5144034932527183,0.8352509422733584,0.7473626759190675,0.033749330312260496,0.7747175141242938
SVM / Track B,0.8204225352112676,0.8235294117647058,0.6412427107670872,0.8695943265225153,0.8153717204007641,0.020804444067981417,0.8495762711864406
RF / Track B,0.7992957746478874,0.7985865724381626,0.5986063929233988,0.8692471731799246,0.8021597598534169,0.02962411559563525,0.8227401129943502
LR / Track C,0.8028169014084507,0.8041958041958042,0.6056938825554369,0.8493354493156119,0.764118357958754,0.013256050047511642,1.0
SVM / Track C,0.8098591549295775,0.8125,0.6199643274591036,0.8628248363419956,0.794167868699076,0.018256372164767457,1.0
RF / Track C,0.823943661971831,0.823943661971831,0.647887323943662,0.8751487800039675,0.8030135277377101,0.011557819478750309,1.0
LR / Track D,0.7852112676056338,0.7859649122807018,0.5704366803152389,0.8484427692918071,0.7729523215469183,0.01569078825916926,0.9682203389830508
SVM / Track D,0.8204225352112676,0.8222996515679443,0.64098813571432,0.8662963697679031,0.7976959962574559,0.015507090253494286,0.989406779661017
RF / Track D,0.7992957746478874,0.8013937282229965,0.598725181711178,0.8728922832771275,0.7923862617441815,0.023209028098975196,0.9957627118644068
